episode,mean_reward
99,-413.42
100,-411.88
101,-411.43
102,-408.47
103,-406.36
104,-403.55
105,-400.85
106,-400.52
107,-396.99
108,-395.88
109,-396.09
110,-394.86
111,-393.95
112,-390.83
113,-388.1
114,-385.72
115,-383.12
116,-380.1
117,-378.43
118,-376.09
119,-373.5
120,-369.8
121,-365.98
122,-363.92
123,-360.99
124,-358.3
125,-355.04
126,-351.47
127,-348.0
128,-346.49
129,-343.11
130,-339.52
131,-336.95
132,-335.98
133,-334.85
134,-332.73
135,-331.3
136,-327.25
137,-325.35
138,-323.7
139,-320.23
140,-316.79
141,-314.09
142,-311.04
143,-309.47
144,-306.75
145,-304.17
146,-305.29
147,-305.47
148,-304.9
149,-302.45
150,-301.01
151,-299.02
152,-295.72
153,-292.57
154,-290.56
155,-286.95
156,-284.08
157,-282.94
158,-280.77
159,-279.12
160,-278.2
161,-275.29
162,-272.2
163,-270.23
164,-267.35
165,-264.03
166,-264.1
167,-263.15
168,-262.21
169,-262.19
170,-261.05
171,-258.54
172,-256.13
173,-253.29
174,-251.09
175,-249.7
176,-249.07
177,-245.3
178,-243.62
179,-242.29
180,-240.43
181,-238.53
182,-235.85
183,-235.87
184,-234.45
185,-233.84
186,-232.93
187,-230.46
188,-227.85
189,-226.62
190,-223.56
191,-220.9
192,-220.15
193,-219.91
194,-219.35
195,-219.6
196,-220.13
197,-220.73
198,-218.93
199,-218.14
200,-216.06
201,-212.88
202,-212.15
203,-211.8
204,-212.89
205,-212.57
206,-213.02
207,-213.61
208,-212.64
209,-212.18
210,-211.26
211,-210.0
212,-210.06
213,-209.38
214,-208.04
215,-206.92
216,-207.58
217,-205.81
218,-205.04
219,-203.68
220,-204.37
221,-205.06
222,-203.39
223,-203.13
224,-202.22
225,-202.79
226,-203.24
227,-204.09
228,-202.63
229,-203.11
230,-202.82
231,-202.32
232,-202.26
233,-201.71
234,-201.43
235,-200.44
236,-202.27
237,-200.87
238,-200.01
239,-199.95
240,-199.34
241,-198.99
242,-198.16
243,-195.89
244,-195.31
245,-194.9
246,-193.24
247,-193.0
248,-192.36
249,-191.75
250,-191.23
251,-190.0
252,-189.18
253,-188.83
254,-187.12
255,-187.29
256,-189.0
257,-186.49
258,-185.03
259,-184.59
260,-181.9
261,-181.34
262,-181.95
263,-180.56
264,-180.07
265,-179.7
266,-178.76
267,-177.11
268,-176.66
269,-175.4
270,-174.95
271,-175.64
272,-178.05
273,-177.08
274,-176.23
275,-179.69
276,-178.83
277,-179.44
278,-180.08
279,-179.95
280,-180.79
281,-179.84
282,-179.69
283,-177.05
284,-176.26
285,-174.56
286,-173.78
287,-173.51
288,-173.07
289,-172.63
290,-172.28
291,-171.82
292,-172.19
293,-171.16
294,-170.79
295,-169.22
296,-167.89
297,-166.97
298,-167.15
299,-167.04
300,-166.36
301,-167.35
302,-168.79
303,-167.99
304,-165.35
305,-164.97
306,-163.64
307,-162.53
308,-166.29
309,-165.61
310,-165.28
311,-166.13
312,-169.28
313,-169.86
314,-169.86
315,-169.43
316,-168.13
317,-168.17
318,-167.59
319,-167.46
320,-166.6
321,-166.21
322,-165.97
323,-165.15
324,-165.38
325,-164.27
326,-163.85
327,-163.53
328,-162.77
329,-162.44
330,-162.1
331,-161.92
332,-161.68
333,-161.17
334,-160.5
335,-160.02
336,-158.6
337,-158.65
338,-161.86
339,-162.22
340,-162.21
341,-161.54
342,-161.6
343,-162.05
344,-161.28
345,-161.61
346,-161.62
347,-160.93
348,-160.77
349,-161.27
350,-161.13
351,-160.84
352,-161.09
353,-161.3
354,-165.02
355,-164.48
356,-162.02
357,-162.4
358,-162.67
359,-161.81
360,-161.37
361,-160.85
362,-159.27
363,-158.48
364,-159.88
365,-159.99
366,-159.67
367,-159.65
368,-159.38
369,-159.35
370,-159.2
371,-158.06
372,-154.25
373,-154.17
374,-153.95
375,-150.02
376,-149.97
377,-149.03
378,-147.95
379,-147.21
380,-145.56
381,-145.64
382,-145.39
383,-145.53
384,-146.07
385,-148.48
386,-148.72
387,-148.7
388,-148.48
389,-148.55
390,-148.08
391,-148.34
392,-148.08
393,-148.34
394,-147.79
395,-147.73
396,-149.56
397,-149.12
398,-149.79
399,-149.14
400,-149.63
401,-149.35
402,-147.82
403,-147.35
404,-147.71
405,-147.23
406,-147.62
407,-148.57
408,-144.96
409,-144.61
410,-144.53
411,-142.81
412,-138.91
413,-138.57
414,-138.68
415,-139.42
416,-140.47
417,-139.83
418,-139.8
419,-140.32
420,-143.14
421,-142.87
422,-142.82
423,-143.98
424,-145.45
425,-145.66
426,-146.43
427,-146.37
428,-146.39
429,-146.4
430,-146.75
431,-147.3
432,-147.13
433,-146.95
434,-146.93
435,-147.38
436,-147.4
437,-147.41
438,-143.76
439,-143.87
440,-144.58
441,-145.28
442,-146.75
443,-146.26
444,-146.93
445,-146.76
446,-146.89
447,-146.26
448,-146.13
449,-145.6
450,-145.37
451,-144.9
452,-146.24
453,-145.77
454,-142.16
455,-142.03
456,-141.81
457,-141.18
458,-141.21
459,-145.22
460,-146.04
461,-146.18
462,-146.28
463,-146.87
464,-144.91
465,-144.8
466,-145.25
467,-145.95
468,-145.76
469,-146.08
470,-146.85
471,-147.78
472,-151.59
473,-151.89
474,-152.71
475,-152.57
476,-152.54
477,-153.11
478,-152.88
479,-153.13
480,-153.93
481,-154.58
482,-154.78
483,-154.46
484,-154.06
485,-152.08
486,-152.07
487,-151.93
488,-151.94
489,-152.04
490,-152.17
491,-151.95
492,-152.36
493,-152.3
494,-152.0
495,-151.81
496,-150.26
497,-150.8
498,-149.45
499,-149.87
500,-149.66
501,-149.42
502,-149.54
503,-149.79
504,-150.11
505,-149.74
506,-148.86
507,-148.03
508,-147.78
509,-148.18
510,-147.96
511,-148.06
512,-147.81
513,-146.97
514,-147.03
515,-146.3
516,-144.96
517,-144.94
518,-144.49
519,-144.59
520,-142.46
521,-142.48
522,-142.79
523,-141.74
524,-141.13
525,-140.91
526,-139.65
527,-138.73
528,-138.85
529,-138.34
530,-138.17
531,-137.66
532,-137.36
533,-137.26
534,-137.18
535,-137.93
536,-137.51
537,-136.88
538,-136.76
539,-136.02
540,-135.49
541,-134.99
542,-133.57
543,-133.43
544,-132.88
545,-132.79
546,-132.59
547,-133.24
548,-132.98
549,-132.79
550,-133.09
551,-133.6
552,-132.15
553,-131.97
554,-131.49
555,-131.54
556,-131.39
557,-131.39
558,-131.54
559,-127.38
560,-126.9
561,-126.84
562,-127.01
563,-126.56
564,-126.72
565,-126.81
566,-126.97
567,-126.43
568,-126.94
569,-126.72
570,-126.23
571,-126.03
572,-122.01
573,-121.51
574,-120.99
575,-121.51
576,-121.48
577,-121.08
578,-121.01
579,-121.14
580,-120.6
581,-119.72
582,-119.66
583,-119.67
584,-120.14
585,-119.47
586,-119.54
587,-119.76
588,-119.77
589,-119.53
590,-119.52
591,-119.48
592,-118.7
593,-118.98
594,-119.89
595,-121.71
596,-122.23
597,-121.64
598,-122.25
599,-122.21
600,-122.52
601,-123.03
602,-123.35
603,-122.92
604,-122.96
605,-123.44
606,-123.57
607,-123.92
608,-123.76
609,-123.64
610,-124.55
611,-124.22
612,-124.85
613,-125.1
614,-124.92
615,-125.41
616,-125.81
617,-126.0
618,-126.29
619,-126.06
620,-125.99
621,-126.55
622,-126.23
623,-126.32
