episode,mean_reward
99,14.23
100,14.45
101,14.94
102,14.92
103,14.84
104,15.1
105,15.29
106,16.06
107,16.47
108,16.71
109,16.68
110,16.69
111,16.69
112,16.65
113,16.77
114,17.24
115,17.87
116,18.12
117,18.33
118,18.63
119,18.97
120,19.38
121,19.72
122,19.96
123,20.5
124,20.7
125,20.77
126,21.04
127,21.06
128,21.41
129,21.69
130,22.36
131,22.68
132,23.24
133,23.54
134,24.07
135,24.27
136,24.96
137,25.42
138,25.71
139,26.62
140,27.16
141,27.64
142,27.99
143,28.43
144,29.14
145,29.32
146,29.86
147,31.31
148,31.76
149,32.12
150,32.85
151,33.11
152,33.83
153,34.5
154,35.26
155,35.8
156,36.36
157,36.75
158,37.08
159,37.36
160,37.87
161,38.05
162,38.31
163,38.66
164,38.91
165,39.11
166,39.56
167,40.0
168,40.62
169,41.17
170,41.44
171,42.18
172,42.46
173,42.85
174,43.28
175,43.62
176,43.79
177,44.35
178,46.11
179,46.74
180,47.33
181,48.3
182,48.89
183,50.33
184,50.96
185,51.87
186,52.69
187,54.51
188,56.12
189,57.88
190,59.46
191,61.15
192,62.84
193,64.6
194,66.4
195,68.12
196,69.87
197,71.42
198,73.17
199,74.61
200,75.67
201,77.08
202,78.97
203,80.85
204,82.5
205,84.22
206,85.34
207,86.8
208,88.47
209,90.38
210,92.28
211,94.18
212,96.08
213,97.86
214,99.3
215,100.57
216,102.21
217,103.89
218,105.5
219,107.06
220,108.52
221,110.08
222,111.71
223,113.07
224,114.77
225,116.62
226,118.25
227,120.13
228,121.67
229,123.28
230,124.52
231,126.12
232,127.43
233,129.03
234,130.41
235,132.11
236,133.31
237,134.72
238,136.33
239,137.32
240,138.62
241,140.03
242,141.55
243,142.98
244,144.15
245,145.86
246,147.18
247,147.6
248,149.04
249,150.54
250,151.68
251,153.33
252,154.49
253,155.71
254,156.83
255,158.18
256,159.42
257,160.9
258,162.36
259,163.9
260,165.24
261,166.81
262,168.3
263,169.87
264,171.51
265,173.19
266,174.63
267,176.01
268,177.25
269,178.49
270,180.03
271,181.09
272,182.66
273,183.91
274,185.29
275,186.76
276,188.35
277,189.38
278,189.38
279,190.61
280,191.86
281,192.72
282,193.45
283,193.83
284,194.99
