episode,cumulative_reward
0,9.0
1,8.0
2,11.0
3,18.0
4,7.0
5,7.0
6,9.0
7,11.0
8,7.0
9,10.0
10,7.0
11,8.0
12,12.0
13,8.0
14,7.0
15,8.0
16,9.0
17,9.0
18,7.0
19,7.0
20,11.0
21,8.0
22,11.0
23,8.0
24,8.0
25,6.0
26,8.0
27,8.0
28,9.0
29,9.0
30,7.0
31,6.0
32,11.0
33,8.0
34,7.0
35,8.0
36,9.0
37,11.0
38,8.0
39,8.0
40,11.0
41,9.0
42,11.0
43,11.0
44,10.0
45,9.0
46,12.0
47,11.0
48,9.0
49,12.0
50,11.0
51,7.0
52,10.0
53,9.0
54,10.0
55,9.0
56,18.0
57,11.0
58,19.0
59,16.0
60,13.0
61,23.0
62,23.0
63,6.0
64,9.0
65,10.0
66,9.0
67,16.0
68,12.0
69,19.0
70,17.0
71,18.0
72,13.0
73,19.0
74,17.0
75,17.0
76,22.0
77,34.0
78,22.0
79,12.0
80,14.0
81,15.0
82,23.0
83,16.0
84,19.0
85,28.0
86,22.0
87,16.0
88,37.0
89,22.0
90,40.0
91,29.0
92,29.0
93,22.0
94,18.0
95,26.0
96,23.0
97,43.0
98,23.0
99,54.0
100,31.0
101,57.0
102,9.0
103,10.0
104,33.0
105,26.0
106,86.0
107,52.0
108,31.0
109,7.0
110,8.0
111,8.0
112,8.0
113,20.0
114,54.0
115,71.0
116,34.0
117,30.0
118,37.0
119,41.0
120,52.0
121,42.0
122,35.0
123,62.0
124,28.0
125,13.0
126,35.0
127,10.0
128,44.0
129,37.0
130,74.0
131,38.0
132,67.0
133,38.0
134,60.0
135,28.0
136,78.0
137,57.0
138,37.0
139,99.0
140,65.0
141,57.0
142,46.0
143,55.0
144,81.0
145,27.0
146,66.0
147,156.0
148,54.0
149,48.0
150,84.0
151,33.0
152,82.0
153,76.0
154,86.0
155,63.0
156,74.0
157,50.0
158,52.0
159,44.0
160,64.0
161,41.0
162,49.0
163,41.0
164,34.0
165,30.0
166,54.0
167,60.0
168,74.0
169,74.0
170,44.0
171,92.0
172,41.0
173,58.0
174,60.0
175,51.0
176,39.0
177,90.0
178,198.0
179,75.0
180,73.0
181,112.0
182,82.0
183,160.0
184,82.0
185,119.0
186,104.0
187,198.0
188,198.0
189,198.0
190,198.0
191,198.0
192,198.0
193,198.0
194,198.0
195,198.0
196,198.0
197,198.0
198,198.0
199,198.0
200,137.0
201,198.0
202,198.0
203,198.0
204,198.0
205,198.0
206,198.0
207,198.0
208,198.0
209,198.0
210,198.0
211,198.0
212,198.0
213,198.0
214,198.0
215,198.0
216,198.0
217,198.0
218,198.0
219,197.0
220,198.0
221,198.0
222,198.0
223,198.0
224,198.0
225,198.0
226,198.0
227,198.0
228,198.0
229,198.0
230,198.0
231,198.0
232,198.0
233,198.0
234,198.0
235,198.0
236,198.0
237,198.0
238,198.0
239,198.0
240,195.0
241,198.0
242,198.0
243,198.0
244,198.0
245,198.0
246,198.0
247,198.0
248,198.0
249,198.0
250,198.0
251,198.0
252,198.0
253,198.0
254,198.0
255,198.0
256,198.0
257,198.0
258,198.0
259,198.0
260,198.0
261,198.0
262,198.0
263,198.0
264,198.0
265,198.0
266,198.0
267,198.0
268,198.0
269,198.0
270,198.0
271,198.0
272,198.0
273,183.0
274,198.0
275,198.0
276,198.0
277,193.0
278,198.0
279,198.0
280,198.0
281,198.0
282,155.0
283,198.0
284,198.0
285,198.0
